العربية,English,বাংলা,فارسی,Français,Indonesia,Italiano,Dutch,Português,русский,Shqip,ภาษาไทย,Türkçe,اردو,简体中文,Melayu,Español,Kiswahili,Tiếng Việt
"استمع سورة Al-Qasas","Listen to Surah As-Sajdah","শুনুন সূরা Al-Jathiyah","شنیدن سوره Al-Jathiyah","Écouter Sourate Al-Jathiyah","Dengarkan Surah Al-Jathiyah","Ascolta Sura Al-Jathiyah","Luister Soera Al-Jathiyah","Ouvir Surata Al-Jathiyah","Слушать Сура Al-Jathiyah","Dëgjo Sure Al-Jathiyah","ฟังซูเราะห์ Al-Jathiyah","Dinle Sure Al-Jathiyah","سنیں سورہ Al-Jathiyah","听苏拉 Al-Jathiyah","Dengar Surah Al-Jathiyah","Escuchar Sura Al-Jathiyah","Sikiliza Sura Al-Jathiyah","Nghe Surah Al-Ahqaf"
"استمع سورة Al-'Ankabut","Listen to Surah Al-Ahzab","শুনুন সূরা Al-Ahqaf","شنیدن سوره Al-Ahqaf","Écouter Sourate Al-Ahqaf","Dengarkan Surah Al-Ahqaf","Ascolta Sura Al-Ahqaf","Luister Soera Al-Ahqaf","Ouvir Surata Al-Ahqaf","Слушать Сура Al-Ahqaf","Dëgjo Sure Al-Ahqaf","ฟังซูเราะห์ Al-Ahqaf","Dinle Sure Al-Ahqaf","سنیں سورہ Al-Ahqaf","听苏拉 Al-Ahqaf","Dengar Surah Al-Ahqaf","Escuchar Sura Al-Ahqaf","Sikiliza Sura Al-Ahqaf","Nghe Surah Muhammad"
"استمع سورة Ar-Rum","Listen to Surah Saba","শুনুন সূরা Muhammad","شنیدن سوره Muhammad","Écouter Sourate Muhammad","Dengarkan Surah Muhammad","Ascolta Sura Muhammad","Luister Soera Muhammad","Ouvir Surata Muhammad","Слушать Сура Muhammad","Dëgjo Sure Muhammad","ฟังซูเราะห์ Muhammad","Dinle Sure Muhammad","سنیں سورہ Muhammad","听苏拉 Muhammad","Dengar Surah Muhammad","Escuchar Sura Muhammad","Sikiliza Sura Muhammad","Nghe Surah Al-Fath"
"استمع سورة Luqman","Listen to Surah Fatir","শুনুন সূরা Al-Fath","شنیدن سوره Al-Fath","Écouter Sourate Al-Fath","Dengarkan Surah Al-Fath","Ascolta Sura Al-Fath","Luister Soera Al-Fath","Ouvir Surata Al-Fath","Слушать Сура Al-Fath","Dëgjo Sure Al-Fath","ฟังซูเราะห์ Al-Fath","Dinle Sure Al-Fath","سنیں سورہ Al-Fath","听苏拉 Al-Fath","Dengar Surah Al-Fath","Escuchar Sura Al-Fath","Sikiliza Sura Al-Fath","Nghe Surah Al-Hujurat"
"استمع سورة As-Sajdah","Listen to Surah Ya-Sin","শুনুন সূরা Al-Hujurat","شنیدن سوره Al-Hujurat","Écouter Sourate Al-Hujurat","Dengarkan Surah Al-Hujurat","Ascolta Sura Al-Hujurat","Luister Soera Al-Hujurat","Ouvir Surata Al-Hujurat","Слушать Сура Al-Hujurat","Dëgjo Sure Al-Hujurat","ฟังซูเราะห์ Al-Hujurat","Dinle Sure Al-Hujurat","سنیں سورہ Al-Hujurat","听苏拉 Al-Hujurat","Dengar Surah Al-Hujurat","Escuchar Sura Al-Hujurat","Sikiliza Sura Al-Hujurat","Nghe Surah Qaf"
"استمع سورة Al-Ahzab","Listen to Surah As-Saffat","শুনুন সূরা Qaf","شنیدن سوره Qaf","Écouter Sourate Qaf","Dengarkan Surah Qaf","Ascolta Sura Qaf","Luister Soera Qaf","Ouvir Surata Qaf","Слушать Сура Qaf","Dëgjo Sure Qaf","ฟังซูเราะห์ Qaf","Dinle Sure Qaf","سنیں سورہ Qaf","听苏拉 Qaf","Dengar Surah Qaf","Escuchar Sura Qaf","Sikiliza Sura Qaf","Nghe Surah Ad-Zariyat"
"استمع سورة Saba","Listen to Surah Sad","শুনুন সূরা Ad-Zariyat","شنیدن سوره Ad-Zariyat","Écouter Sourate Ad-Zariyat","Dengarkan Surah Ad-Zariyat","Ascolta Sura Ad-Zariyat","Luister Soera Ad-Zariyat","Ouvir Surata Ad-Zariyat","Слушать Сура Ad-Zariyat","Dëgjo Sure Ad-Zariyat","ฟังซูเราะห์ Ad-Zariyat","Dinle Sure Ad-Zariyat","سنیں سورہ Ad-Zariyat","听苏拉 Ad-Zariyat","Dengar Surah Ad-Zariyat","Escuchar Sura Ad-Zariyat","Sikiliza Sura Ad-Zariyat","Nghe Surah At-Tur"
"استمع سورة Fatir","Listen to Surah Az-Zumar","শুনুন সূরা At-Tur","شنیدن سوره At-Tur","Écouter Sourate At-Tur","Dengarkan Surah At-Tur","Ascolta Sura At-Tur","Luister Soera At-Tur","Ouvir Surata At-Tur","Слушать Сура At-Tur","Dëgjo Sure At-Tur","ฟังซูเราะห์ At-Tur","Dinle Sure At-Tur","سنیں سورہ At-Tur","听苏拉 At-Tur","Dengar Surah At-Tur","Escuchar Sura At-Tur","Sikiliza Sura At-Tur","Nghe Surah An-Najm"
"استمع سورة Ya-Sin","Listen to Surah Ghafir","শুনুন সূরা An-Najm","شنیدن سوره An-Najm","Écouter Sourate An-Najm","Dengarkan Surah An-Najm","Ascolta Sura An-Najm","Luister Soera An-Najm","Ouvir Surata An-Najm","Слушать Сура An-Najm","Dëgjo Sure An-Najm","ฟังซูเราะห์ An-Najm","Dinle Sure An-Najm","سنیں سورہ An-Najm","听苏拉 An-Najm","Dengar Surah An-Najm","Escuchar Sura An-Najm","Sikiliza Sura An-Najm","Nghe Surah Al-Qamar"
"استمع سورة As-Saffat","Listen to Surah Fussilat","শুনুন সূরা Al-Qamar","شنیدن سوره Al-Qamar","Écouter Sourate Al-Qamar","Dengarkan Surah Al-Qamar","Ascolta Sura Al-Qamar","Luister Soera Al-Qamar","Ouvir Surata Al-Qamar","Слушать Сура Al-Qamar","Dëgjo Sure Al-Qamar","ฟังซูเราะห์ Al-Qamar","Dinle Sure Al-Qamar","سنیں سورہ Al-Qamar","听苏拉 Al-Qamar","Dengar Surah Al-Qamar","Escuchar Sura Al-Qamar","Sikiliza Sura Al-Qamar","Nghe Surah Ar-Rahman"
"استمع سورة Sad","Listen to Surah Ash-Shura","শুনুন সূরা Ar-Rahman","شنیدن سوره Ar-Rahman","Écouter Sourate Ar-Rahman","Dengarkan Surah Ar-Rahman","Ascolta Sura Ar-Rahman","Luister Soera Ar-Rahman","Ouvir Surata Ar-Rahman","Слушать Сура Ar-Rahman","Dëgjo Sure Ar-Rahman","ฟังซูเราะห์ Ar-Rahman","Dinle Sure Ar-Rahman","سنیں سورہ Ar-Rahman","听苏拉 Ar-Rahman","Dengar Surah Ar-Rahman","Escuchar Sura Ar-Rahman","Sikiliza Sura Ar-Rahman","Nghe Surah Al-Waqi'ah"
"استمع سورة Az-Zumar","Listen to Surah Az-Zukhruf","শুনুন সূরা Al-Waqi'ah","شنیدن سوره Al-Waqi'ah","Écouter Sourate Al-Waqi'ah","Dengarkan Surah Al-Waqi'ah","Ascolta Sura Al-Waqi'ah","Luister Soera Al-Waqi'ah","Ouvir Surata Al-Waqi'ah","Слушать Сура Al-Waqi'ah","Dëgjo Sure Al-Waqi'ah","ฟังซูเราะห์ Al-Waqi'ah","Dinle Sure Al-Waqi'ah","سنیں سورہ Al-Waqi'ah","听苏拉 Al-Waqi'ah","Dengar Surah Al-Waqi'ah","Escuchar Sura Al-Waqi'ah","Sikiliza Sura Al-Waqi'ah","Nghe Surah Al-Hadid"
"استمع سورة Ghafir","Listen to Surah Ad-Dukhan","শুনুন সূরা Al-Hadid","شنیدن سوره Al-Hadid","Écouter Sourate Al-Hadid","Dengarkan Surah Al-Hadid","Ascolta Sura Al-Hadid","Luister Soera Al-Hadid","Ouvir Surata Al-Hadid","Слушать Сура Al-Hadid","Dëgjo Sure Al-Hadid","ฟังซูเราะห์ Al-Hadid","Dinle Sure Al-Hadid","سنیں سورہ Al-Hadid","听苏拉 Al-Hadid","Dengar Surah Al-Hadid","Escuchar Sura Al-Hadid","Sikiliza Sura Al-Hadid","Nghe Surah Al-Mujadila"
"استمع سورة Fussilat","Listen to Surah Al-Jathiyah","শুনুন সূরা Al-Mujadila","شنیدن سوره Al-Mujadila","Écouter Sourate Al-Mujadila","Dengarkan Surah Al-Mujadila","Ascolta Sura Al-Mujadila","Luister Soera Al-Mujadila","Ouvir Surata Al-Mujadila","Слушать Сура Al-Mujadila","Dëgjo Sure Al-Mujadila","ฟังซูเราะห์ Al-Mujadila","Dinle Sure Al-Mujadila","سنیں سورہ Al-Mujadila","听苏拉 Al-Mujadila","Dengar Surah Al-Mujadila","Escuchar Sura Al-Mujadila","Sikiliza Sura Al-Mujadila","Nghe Surah Al-Hashr"
"استمع سورة Ash-Shura","Listen to Surah Al-Ahqaf","শুনুন সূরা Al-Hashr","شنیدن سوره Al-Hashr","Écouter Sourate Al-Hashr","Dengarkan Surah Al-Hashr","Ascolta Sura Al-Hashr","Luister Soera Al-Hashr","Ouvir Surata Al-Hashr","Слушать Сура Al-Hashr","Dëgjo Sure Al-Hashr","ฟังซูเราะห์ Al-Hashr","Dinle Sure Al-Hashr","سنیں سورہ Al-Hashr","听苏拉 Al-Hashr","Dengar Surah Al-Hashr","Escuchar Sura Al-Hashr","Sikiliza Sura Al-Hashr","Nghe Surah Al-Mumtahanah"
"استمع سورة Az-Zukhruf","Listen to Surah Muhammad","শুনুন সূরা Al-Mumtahanah","شنیدن سوره Al-Mumtahanah","Écouter Sourate Al-Mumtahanah","Dengarkan Surah Al-Mumtahanah","Ascolta Sura Al-Mumtahanah","Luister Soera Al-Mumtahanah","Ouvir Surata Al-Mumtahanah","Слушать Сура Al-Mumtahanah","Dëgjo Sure Al-Mumtahanah","ฟังซูเราะห์ Al-Mumtahanah","Dinle Sure Al-Mumtahanah","سنیں سورہ Al-Mumtahanah","听苏拉 Al-Mumtahanah","Dengar Surah Al-Mumtahanah","Escuchar Sura Al-Mumtahanah","Sikiliza Sura Al-Mumtahanah","Nghe Surah As-Saf"
"استمع سورة Ad-Dukhan","Listen to Surah Al-Fath","শুনুন সূরা As-Saf","شنیدن سوره As-Saf","Écouter Sourate As-Saf","Dengarkan Surah As-Saf","Ascolta Sura As-Saf","Luister Soera As-Saf","Ouvir Surata As-Saf","Слушать Сура As-Saf","Dëgjo Sure As-Saf","ฟังซูเราะห์ As-Saf","Dinle Sure As-Saf","سنیں سورہ As-Saf","听苏拉 As-Saf","Dengar Surah As-Saf","Escuchar Sura As-Saf","Sikiliza Sura As-Saf","Nghe Surah Al-Jumu'ah"
"استمع سورة Al-Jathiyah","Listen to Surah Al-Hujurat","শুনুন সূরা Al-Jumu'ah","شنیدن سوره Al-Jumu'ah","Écouter Sourate Al-Jumu'ah","Dengarkan Surah Al-Jumu'ah","Ascolta Sura Al-Jumu'ah","Luister Soera Al-Jumu'ah","Ouvir Surata Al-Jumu'ah","Слушать Сура Al-Jumu'ah","Dëgjo Sure Al-Jumu'ah","ฟังซูเราะห์ Al-Jumu'ah","Dinle Sure Al-Jumu'ah","سنیں سورہ Al-Jumu'ah","听苏拉 Al-Jumu'ah","Dengar Surah Al-Jumu'ah","Escuchar Sura Al-Jumu'ah","Sikiliza Sura Al-Jumu'ah","Nghe Surah Al-Munafiqun"
"استمع سورة Al-Ahqaf","Listen to Surah Qaf","শুনুন সূরা Al-Munafiqun","شنیدن سوره Al-Munafiqun","Écouter Sourate Al-Munafiqun","Dengarkan Surah Al-Munafiqun","Ascolta Sura Al-Munafiqun","Luister Soera Al-Munafiqun","Ouvir Surata Al-Munafiqun","Слушать Сура Al-Munafiqun","Dëgjo Sure Al-Munafiqun","ฟังซูเราะห์ Al-Munafiqun","Dinle Sure Al-Munafiqun","سنیں سورہ Al-Munafiqun","听苏拉 Al-Munafiqun","Dengar Surah Al-Munafiqun","Escuchar Sura Al-Munafiqun","Sikiliza Sura Al-Munafiqun","Nghe Surah At-Taghabun"
"استمع سورة Muhammad","Listen to Surah Ad-Zariyat","শুনুন সূরা At-Taghabun","شنیدن سوره At-Taghabun","Écouter Sourate At-Taghabun","Dengarkan Surah At-Taghabun","Ascolta Sura At-Taghabun","Luister Soera At-Taghabun","Ouvir Surata At-Taghabun","Слушать Сура At-Taghabun","Dëgjo Sure At-Taghabun","ฟังซูเราะห์ At-Taghabun","Dinle Sure At-Taghabun","سنیں سورہ At-Taghabun","听苏拉 At-Taghabun","Dengar Surah At-Taghabun","Escuchar Sura At-Taghabun","Sikiliza Sura At-Taghabun","Nghe Surah At-Talaq"
"استمع سورة Al-Fath","Listen to Surah At-Tur","শুনুন সূরা At-Talaq","شنیدن سوره At-Talaq","Écouter Sourate At-Talaq","Dengarkan Surah At-Talaq","Ascolta Sura At-Talaq","Luister Soera At-Talaq","Ouvir Surata At-Talaq","Слушать Сура At-Talaq","Dëgjo Sure At-Talaq","ฟังซูเราะห์ At-Talaq","Dinle Sure At-Talaq","سنیں سورہ At-Talaq","听苏拉 At-Talaq","Dengar Surah At-Talaq","Escuchar Sura At-Talaq","Sikiliza Sura At-Talaq","Nghe Surah At-Tahrim"
"استمع سورة Al-Hujurat","Listen to Surah An-Najm","শুনুন সূরা At-Tahrim","شنیدن سوره At-Tahrim","Écouter Sourate At-Tahrim","Dengarkan Surah At-Tahrim","Ascolta Sura At-Tahrim","Luister Soera At-Tahrim","Ouvir Surata At-Tahrim","Слушать Сура At-Tahrim","Dëgjo Sure At-Tahrim","ฟังซูเราะห์ At-Tahrim","Dinle Sure At-Tahrim","سنیں سورہ At-Tahrim","听苏拉 At-Tahrim","Dengar Surah At-Tahrim","Escuchar Sura At-Tahrim","Sikiliza Sura At-Tahrim","Nghe Surah Al-Mulk"
"استمع سورة Qaf","Listen to Surah Al-Qamar","শুনুন সূরা Al-Mulk","شنیدن سوره Al-Mulk","Écouter Sourate Al-Mulk","Dengarkan Surah Al-Mulk","Ascolta Sura Al-Mulk","Luister Soera Al-Mulk","Ouvir Surata Al-Mulk","Слушать Сура Al-Mulk","Dëgjo Sure Al-Mulk","ฟังซูเราะห์ Al-Mulk","Dinle Sure Al-Mulk","سنیں سورہ Al-Mulk","听苏拉 Al-Mulk","Dengar Surah Al-Mulk","Escuchar Sura Al-Mulk","Sikiliza Sura Al-Mulk","Nghe Surah Al-Qalam"
"استمع سورة Ad-Zariyat","Listen to Surah Ar-Rahman","শুনুন সূরা Al-Qalam","شنیدن سوره Al-Qalam","Écouter Sourate Al-Qalam","Dengarkan Surah Al-Qalam","Ascolta Sura Al-Qalam","Luister Soera Al-Qalam","Ouvir Surata Al-Qalam","Слушать Сура Al-Qalam","Dëgjo Sure Al-Qalam","ฟังซูเราะห์ Al-Qalam","Dinle Sure Al-Qalam","سنیں سورہ Al-Qalam","听苏拉 Al-Qalam","Dengar Surah Al-Qalam","Escuchar Sura Al-Qalam","Sikiliza Sura Al-Qalam","Nghe Surah Al-Haqqah"
"استمع سورة At-Tur","Listen to Surah Al-Waqi'ah","শুনুন সূরা Al-Haqqah","شنیدن سوره Al-Haqqah","Écouter Sourate Al-Haqqah","Dengarkan Surah Al-Haqqah","Ascolta Sura Al-Haqqah","Luister Soera Al-Haqqah","Ouvir Surata Al-Haqqah","Слушать Сура Al-Haqqah","Dëgjo Sure Al-Haqqah","ฟังซูเราะห์ Al-Haqqah","Dinle Sure Al-Haqqah","سنیں سورہ Al-Haqqah","听苏拉 Al-Haqqah","Dengar Surah Al-Haqqah","Escuchar Sura Al-Haqqah","Sikiliza Sura Al-Haqqah","Nghe Surah Al-Ma'arij"
"استمع سورة An-Najm","Listen to Surah Al-Hadid","শুনুন সূরা Al-Ma'arij","شنیدن سوره Al-Ma'arij","Écouter Sourate Al-Ma'arij","Dengarkan Surah Al-Ma'arij","Ascolta Sura Al-Ma'arij","Luister Soera Al-Ma'arij","Ouvir Surata Al-Ma'arij","Слушать Сура Al-Ma'arij","Dëgjo Sure Al-Ma'arij","ฟังซูเราะห์ Al-Ma'arij","Dinle Sure Al-Ma'arij","سنیں سورہ Al-Ma'arij","听苏拉 Al-Ma'arij","Dengar Surah Al-Ma'arij","Escuchar Sura Al-Ma'arij","Sikiliza Sura Al-Ma'arij","Nghe Surah Nuh"
"استمع سورة Al-Qamar","Listen to Surah Al-Mujadila","শুনুন সূরা Nuh","شنیدن سوره Nuh","Écouter Sourate Nuh","Dengarkan Surah Nuh","Ascolta Sura Nuh","Luister Soera Nuh","Ouvir Surata Nuh","Слушать Сура Nuh","Dëgjo Sure Nuh","ฟังซูเราะห์ Nuh","Dinle Sure Nuh","سنیں سورہ Nuh","听苏拉 Nuh","Dengar Surah Nuh","Escuchar Sura Nuh","Sikiliza Sura Nuh","Nghe Surah Al-Jinn"
"استمع سورة Ar-Rahman","Listen to Surah Al-Hashr","শুনুন সূরা Al-Jinn","شنیدن سوره Al-Jinn","Écouter Sourate Al-Jinn","Dengarkan Surah Al-Jinn","Ascolta Sura Al-Jinn","Luister Soera Al-Jinn","Ouvir Surata Al-Jinn","Слушать Сура Al-Jinn","Dëgjo Sure Al-Jinn","ฟังซูเราะห์ Al-Jinn","Dinle Sure Al-Jinn","سنیں سورہ Al-Jinn","听苏拉 Al-Jinn","Dengar Surah Al-Jinn","Escuchar Sura Al-Jinn","Sikiliza Sura Al-Jinn","Nghe Surah Al-Muzzammil"
"استمع سورة Al-Waqi'ah","Listen to Surah Al-Mumtahanah","শুনুন সূরা Al-Muzzammil","شنیدن سوره Al-Muzzammil","Écouter Sourate Al-Muzzammil","Dengarkan Surah Al-Muzzammil","Ascolta Sura Al-Muzzammil","Luister Soera Al-Muzzammil","Ouvir Surata Al-Muzzammil","Слушать Сура Al-Muzzammil","Dëgjo Sure Al-Muzzammil","ฟังซูเราะห์ Al-Muzzammil","Dinle Sure Al-Muzzammil","سنیں سورہ Al-Muzzammil","听苏拉 Al-Muzzammil","Dengar Surah Al-Muzzammil","Escuchar Sura Al-Muzzammil","Sikiliza Sura Al-Muzzammil","Nghe Surah Al-Muddaththir"
"استمع سورة Al-Hadid","Listen to Surah As-Saf","শুনুন সূরা Al-Muddaththir","شنیدن سوره Al-Muddaththir","Écouter Sourate Al-Muddaththir","Dengarkan Surah Al-Muddaththir","Ascolta Sura Al-Muddaththir","Luister Soera Al-Muddaththir","Ouvir Surata Al-Muddaththir","Слушать Сура Al-Muddaththir","Dëgjo Sure Al-Muddaththir","ฟังซูเราะห์ Al-Muddaththir","Dinle Sure Al-Muddaththir","سنیں سورہ Al-Muddaththir","听苏拉 Al-Muddaththir","Dengar Surah Al-Muddaththir","Escuchar Sura Al-Muddaththir","Sikiliza Sura Al-Muddaththir","Nghe Surah Al-Qiyamah"
"استمع سورة Al-Mujadila","Listen to Surah Al-Jumu'ah","শুনুন সূরা Al-Qiyamah","شنیدن سوره Al-Qiyamah","Écouter Sourate Al-Qiyamah","Dengarkan Surah Al-Qiyamah","Ascolta Sura Al-Qiyamah","Luister Soera Al-Qiyamah","Ouvir Surata Al-Qiyamah","Слушать Сура Al-Qiyamah","Dëgjo Sure Al-Qiyamah","ฟังซูเราะห์ Al-Qiyamah","Dinle Sure Al-Qiyamah","سنیں سورہ Al-Qiyamah","听苏拉 Al-Qiyamah","Dengar Surah Al-Qiyamah","Escuchar Sura Al-Qiyamah","Sikiliza Sura Al-Qiyamah","Nghe Surah Al-Insan"
"استمع سورة Al-Hashr","Listen to Surah Al-Munafiqun","শুনুন সূরা Al-Insan","شنیدن سوره Al-Insan","Écouter Sourate Al-Insan","Dengarkan Surah Al-Insan","Ascolta Sura Al-Insan","Luister Soera Al-Insan","Ouvir Surata Al-Insan","Слушать Сура Al-Insan","Dëgjo Sure Al-Insan","ฟังซูเราะห์ Al-Insan","Dinle Sure Al-Insan","سنیں سورہ Al-Insan","听苏拉 Al-Insan","Dengar Surah Al-Insan","Escuchar Sura Al-Insan","Sikiliza Sura Al-Insan","Nghe Surah Al-Mursalat"
"استمع سورة Al-Mumtahanah","Listen to Surah At-Taghabun","শুনুন সূরা Al-Mursalat","شنیدن سوره Al-Mursalat","Écouter Sourate Al-Mursalat","Dengarkan Surah Al-Mursalat","Ascolta Sura Al-Mursalat","Luister Soera Al-Mursalat","Ouvir Surata Al-Mursalat","Слушать Сура Al-Mursalat","Dëgjo Sure Al-Mursalat","ฟังซูเราะห์ Al-Mursalat","Dinle Sure Al-Mursalat","سنیں سورہ Al-Mursalat","听苏拉 Al-Mursalat","Dengar Surah Al-Mursalat","Escuchar Sura Al-Mursalat","Sikiliza Sura Al-Mursalat","Nghe Surah An-Naba"
"استمع سورة As-Saf","Listen to Surah At-Talaq","শুনুন সূরা An-Naba","شنیدن سوره An-Naba","Écouter Sourate An-Naba","Dengarkan Surah An-Naba","Ascolta Sura An-Naba","Luister Soera An-Naba","Ouvir Surata An-Naba","Слушать Сура An-Naba","Dëgjo Sure An-Naba","ฟังซูเราะห์ An-Naba","Dinle Sure An-Naba","سنیں سورہ An-Naba","听苏拉 An-Naba","Dengar Surah An-Naba","Escuchar Sura An-Naba","Sikiliza Sura An-Naba","Nghe Surah An-Nazi'at"
"استمع سورة Al-Jumu'ah","Listen to Surah At-Tahrim","শুনুন সূরা An-Nazi'at","شنیدن سوره An-Nazi'at","Écouter Sourate An-Nazi'at","Dengarkan Surah An-Nazi'at","Ascolta Sura An-Nazi'at","Luister Soera An-Nazi'at","Ouvir Surata An-Nazi'at","Слушать Сура An-Nazi'at","Dëgjo Sure An-Nazi'at","ฟังซูเราะห์ An-Nazi'at","Dinle Sure An-Nazi'at","سنیں سورہ An-Nazi'at","听苏拉 An-Nazi'at","Dengar Surah An-Nazi'at","Escuchar Sura An-Nazi'at","Sikiliza Sura An-Nazi'at","Nghe Surah 'Abasa"
"استمع سورة Al-Munafiqun","Listen to Surah Al-Mulk","শুনুন সূরা 'Abasa","شنیدن سوره 'Abasa","Écouter Sourate 'Abasa","Dengarkan Surah 'Abasa","Ascolta Sura 'Abasa","Luister Soera 'Abasa","Ouvir Surata 'Abasa","Слушать Сура 'Abasa","Dëgjo Sure 'Abasa","ฟังซูเราะห์ 'Abasa","Dinle Sure 'Abasa","سنیں سورہ 'Abasa","听苏拉 'Abasa","Dengar Surah 'Abasa","Escuchar Sura 'Abasa","Sikiliza Sura 'Abasa","Nghe Surah At-Takwir"
"استمع سورة At-Taghabun","Listen to Surah Al-Qalam","শুনুন সূরা At-Takwir","شنیدن سوره At-Takwir","Écouter Sourate At-Takwir","Dengarkan Surah At-Takwir","Ascolta Sura At-Takwir","Luister Soera At-Takwir","Ouvir Surata At-Takwir","Слушать Сура At-Takwir","Dëgjo Sure At-Takwir","ฟังซูเราะห์ At-Takwir","Dinle Sure At-Takwir","سنیں سورہ At-Takwir","听苏拉 At-Takwir","Dengar Surah At-Takwir","Escuchar Sura At-Takwir","Sikiliza Sura At-Takwir","Nghe Surah Al-Infitar"
"استمع سورة At-Talaq","Listen to Surah Al-Haqqah","শুনুন সূরা Al-Infitar","شنیدن سوره Al-Infitar","Écouter Sourate Al-Infitar","Dengarkan Surah Al-Infitar","Ascolta Sura Al-Infitar","Luister Soera Al-Infitar","Ouvir Surata Al-Infitar","Слушать Сура Al-Infitar","Dëgjo Sure Al-Infitar","ฟังซูเราะห์ Al-Infitar","Dinle Sure Al-Infitar","سنیں سورہ Al-Infitar","听苏拉 Al-Infitar","Dengar Surah Al-Infitar","Escuchar Sura Al-Infitar","Sikiliza Sura Al-Infitar","Nghe Surah Al-Mutaffifin"
"استمع سورة At-Tahrim","Listen to Surah Al-Ma'arij","শুনুন সূরা Al-Mutaffifin","شنیدن سوره Al-Mutaffifin","Écouter Sourate Al-Mutaffifin","Dengarkan Surah Al-Mutaffifin","Ascolta Sura Al-Mutaffifin","Luister Soera Al-Mutaffifin","Ouvir Surata Al-Mutaffifin","Слушать Сура Al-Mutaffifin","Dëgjo Sure Al-Mutaffifin","ฟังซูเราะห์ Al-Mutaffifin","Dinle Sure Al-Mutaffifin","سنیں سورہ Al-Mutaffifin","听苏拉 Al-Mutaffifin","Dengar Surah Al-Mutaffifin","Escuchar Sura Al-Mutaffifin","Sikiliza Sura Al-Mutaffifin","Nghe Surah Al-Inshiqaq"
